,param_hidden_layer_sizes,param_solver,mean_test_r2,mean_test_neg_mean_squared_error
0,"(50, 30, 10, 5)",adam,0.7815324595668145,-7097.61902311881
1,"(50, 30, 10, 5)",adam,0.7815324595668145,-7097.61902311881
2,"(50, 30, 10, 5)",adam,0.7815324595668145,-7097.61902311881
3,"(50, 30, 10, 5)",adam,0.7815324595668145,-7097.61902311881
4,"(50, 30, 10, 5)",adam,0.7815324595668145,-7097.61902311881
5,"(100, 60, 20, 10)",adam,0.7541615224120294,-7986.908659224848
6,"(100, 60, 20, 10)",adam,0.7541615224120294,-7986.908659224848
7,"(100, 60, 20, 10)",adam,0.7541615224120294,-7986.908659224848
8,"(100, 60, 20, 10)",adam,0.7541615224120294,-7986.908659224848
9,"(100, 60, 20, 10)",adam,0.7541615224120294,-7986.908659224848
10,"(70, 40, 10)",adam,0.8649122190622996,-4422.689507248697
11,"(70, 40, 10)",adam,0.8649122190622996,-4422.689507248697
12,"(70, 40, 10)",adam,0.8649122190622996,-4422.689507248697
13,"(70, 40, 10)",adam,0.8649122190622996,-4422.689507248697
14,"(70, 40, 10)",adam,0.8649122190622996,-4422.689507248697
15,"(12, 7, 3)",adam,0.5893358319451949,-13498.937068066041
16,"(12, 7, 3)",adam,0.7303642985674663,-8774.479087331305
17,"(12, 7, 3)",adam,0.7303642985674663,-8774.479087331305
18,"(12, 7, 3)",adam,0.7303642985674663,-8774.479087331305
19,"(12, 7, 3)",adam,0.7303642985674663,-8774.479087331305
20,"(50, 30, 10, 5)",adam,0.7635762289631179,-7575.2171303860205
21,"(50, 30, 10, 5)",adam,0.7635762289631179,-7575.2171303860205
22,"(50, 30, 10, 5)",adam,0.7635762289631179,-7575.2171303860205
23,"(50, 30, 10, 5)",adam,0.7635762289631179,-7575.2171303860205
24,"(50, 30, 10, 5)",adam,0.7635762289631179,-7575.2171303860205
25,"(100, 60, 20, 10)",adam,0.7681378551020781,-7540.1335841676455
26,"(100, 60, 20, 10)",adam,0.7681378551020781,-7540.1335841676455
27,"(100, 60, 20, 10)",adam,0.7681378551020781,-7540.1335841676455
28,"(100, 60, 20, 10)",adam,0.7681378551020781,-7540.1335841676455
29,"(100, 60, 20, 10)",adam,0.7681378551020781,-7540.1335841676455
30,"(70, 40, 10)",adam,0.8632478982085907,-4464.452851518363
31,"(70, 40, 10)",adam,0.8632478982085907,-4464.452851518363
32,"(70, 40, 10)",adam,0.8632478982085907,-4464.452851518363
33,"(70, 40, 10)",adam,0.8632478982085907,-4464.452851518363
34,"(70, 40, 10)",adam,0.8632478982085907,-4464.452851518363
35,"(12, 7, 3)",adam,0.5893280201528681,-13499.350796485163
36,"(12, 7, 3)",adam,0.7302759759584818,-8777.643075496393
37,"(12, 7, 3)",adam,0.7302759759584818,-8777.643075496393
38,"(12, 7, 3)",adam,0.7302759759584818,-8777.643075496393
39,"(12, 7, 3)",adam,0.7302759759584818,-8777.643075496393
